house_type,locality,city,area,beds,bathrooms,balconies,furnishing,area_rate,rent
"2 BHK Flat for Rent in Oberoi Woods, Goregaon East, Mumbai",Goregaon East,Mumbai,897.0,2,2,0,Semi-Furnished,134.0,120000.0
"1 BHK Flat for Rent in Sapphire Lakeside, Powai, Mumbai",Powai,Mumbai,490.0,1,1,0,Semi-Furnished,82.0,40000.0
1 BHK House for Rent in Mundhwa Pune,Mundhwa,Pune,550.0,1,1,0,Unfurnished,22.0,12000.0
"2 BHK Flat for Rent in Hingna, Nagpur",Hingna,Nagpur,1000.0,2,2,0,Unfurnished,8.0,8000.0
"1 BHK Flat for Rent in Unique Star Harsh Vihar, Mira Road Area, Mumbai",Mira Road,Mumbai,595.0,1,1,0,Unfurnished,25.0,15000.0
1 BHK House for Rent in Jakkur Bangalore,Jakkur,Bangalore,600.0,1,1,0,Unfurnished,27.0,16000.0
"3 BHK Flat for Rent in Chittaranjan Park, New Delhi",Chittaranjan Park,New Delhi,1260.0,3,3,2,Unfurnished,47.66666666666666,60000.0
"3 BHK Flat for Rent in Soami Nagar South, Soami Nagar, New Delhi",Soami Nagar South,New Delhi,2700.0,3,3,2,Semi-Furnished,74.11111111111111,200000.0
1 BHK House for Rent in Hadapsar Pune,Hadapsar,Pune,650.0,1,1,0,Unfurnished,17.0,11000.0
"1 BHK Flat for Rent in Riverdale Suites, Kharadi, Pune",Kharadi,Pune,495.0,1,1,0,Unfurnished,48.0,24000.0
4 BHK House for Rent in Indiranagar Bangalore,Indira Nagar,Bangalore,2000.0,4,3,0,Semi-Furnished,40.0,80000.0
"3 BHK Flat for Rent in Whitefield, Bangalore",Whitefield,Bangalore,1543.0,3,3,0,Unfurnished,39.0,60000.0
"1 BHK Flat for Rent in Hiranandani Gardens, Powai, Mumbai",Powai,Mumbai,380.0,1,2,0,Furnished,184.0,70000.0
"3 BHK Flat for Rent in Rustomjee Seasons, Bandra East, Mumbai",Bandra East,Mumbai,1281.0,3,3,0,Semi-Furnished,222.0,290000.0
"4 BHK Flat for Rent in Bandra East, Mumbai",Bandra East,Mumbai,2200.0,4,4,3,Unfurnished,159.0,350000.0
"4 BHK Flat for Rent in Oberoi Prisma, Jogeshwari Vikhroli Link Road, Mumbai",Jogeshwari Vikhroli Link Road,Mumbai,2600.0,4,5,0,Semi-Furnished,92.0,240000.0
"2 BHK Flat for Rent in Godrej Elements, Hinjawadi, Pune",Hinjewadi,Pune,862.0,2,2,2,Semi-Furnished,35.0,30000.0
"3 BHK Flat for Rent in Jyoti Nagar East, New Delhi",Jyoti Nagar East,New Delhi,1080.0,3,2,0,Semi-Furnished,23.0,25000.0
"1 BHK Flat for Rent in Madanpur Khadar Village, New Delhi",Madanpur Khadar Village,New Delhi,700.0,1,1,0,Semi-Furnished,19.0,13000.0
"3 BHK Flat for Rent in CV Raman Nagar, Bangalore",C V Raman Nagar,Bangalore,1900.0,3,3,3,Semi-Furnished,37.0,70000.0
"2 BHK Flat for Rent in Blossom N Springs, Baner, Pune",Baner,Pune,1000.0,2,2,2,Semi-Furnished,35.0,35000.0
"3 BHK Flat for Rent in Dudulgaon, Alandi, Pune",Dudulgaon,Pune,819.0,3,2,2,Unfurnished,24.0,20000.0
"1 BHK Flat for Rent in Mohan Nagar, Nagpur",Mohan Nagar,Nagpur,400.0,1,1,0,Unfurnished,25.0,10000.0
"4 BHK Flat for Rent in Eon Waterfront, Kharadi, Pune",Kharadi,Pune,2500.0,4,6,3,Semi-Furnished,37.0,92000.0
"2 BHK Flat for Rent in Balagere, Bangalore",Balagere,Bangalore,1200.0,2,2,2,Semi-Furnished,16.0,19000.0
"2 BHK Flat for Rent in Anirudha Residency, Manewada, Nagpur",Manewada,Nagpur,990.0,2,2,2,Semi-Furnished,11.0,11000.0
"1 BHK Flat for Rent in Wadala West, Mumbai",Wadala West,Mumbai,400.0,1,2,0,Semi-Furnished,100.0,40000.0
"2 BHK Flat for Rent in Gini Belvista Phase II, Dhanori Road, Pune",Dhanori Road,Pune,750.0,2,2,2,Semi-Furnished,35.0,26500.0
2 BHK House for Rent in Medahalli Bangalore,MedaHalli,Bangalore,300.0,2,2,0,Semi-Furnished,83.0,25000.0
1 BHK House for Rent in Harsha Layout Kengeri Satellite Town Bangalore,Harsha Layout,Bangalore,850.0,1,1,0,Semi-Furnished,11.0,9000.0
"3 BHK Flat for Rent in Megapolis Sangria Towers, Hinjawadi, Pune",Hinjewadi,Pune,1500.0,3,3,0,Unfurnished,20.0,30000.0
"4 BHK Flat for Rent in Pulikeshi Nagar, Bangalore",Frazer Town,Bangalore,2350.0,4,3,0,Furnished,38.0,90000.0
"2 BHK Flat for Rent in Loni Kalbhor, Pune",Loni Kalbhor,Pune,1200.0,2,2,0,Unfurnished,10.0,12000.0
"1 BHK Flat for Rent in Kirkatwadi, Pune",Kirkatwadi,Pune,480.0,1,1,0,Unfurnished,15.0,7000.0
"2 BHK Flat for Rent in Budigere, Bangalore",Budigere,Bangalore,1153.0,2,2,2,Semi-Furnished,29.0,34000.0
"2 BHK Flat for Rent in Chattarpur, New Delhi",Chhattarpur,New Delhi,900.0,2,2,2,Semi-Furnished,23.0,21000.0
"2 BHK Flat for Rent in Om Trimurti, Dindoshi, Mumbai",Dindoshi - Malad East,Mumbai,950.0,2,2,0,Semi-Furnished,68.0,65000.0
5 BHK House for Rent in Raj nagar Nagpur,Raj nagar,Nagpur,3000.0,5,4,4,Semi-Furnished,8.0,25000.0
"2 BHK Flat for Rent in Surabhi Enclave, Aundh, Pune",Aundh,Pune,980.0,2,2,0,Unfurnished,30.0,29000.0
"3 BHK Flat for Rent in Wadi, Nagpur",Wadi,Nagpur,950.0,3,2,3,Semi-Furnished,9.0,9000.0
"3 BHK Flat for Rent in Ram Das Peth, Nagpur",Ram Das Peth,Nagpur,1300.0,3,3,3,Furnished,27.0,35000.0
"2 BHK Flat for Rent in Kasavanahalli, Bangalore",Kasavanahalli,Bangalore,1500.0,2,2,0,Semi-Furnished,27.0,40000.0
"3 BHK Flat for Rent in ShriRam Heights, Adarsh Nagar, Nagpur",Adarsh Nagar,Nagpur,1000.0,3,3,2,Semi-Furnished,25.0,25000.0
"2 BHK Flat for Rent in Marathahalli, Bangalore",Marathahalli,Bangalore,1180.0,2,2,2,Semi-Furnished,32.0,38000.0
"3 BHK Flat for Rent in Hebbal, Bangalore",Hebbal,Bangalore,3000.0,3,3,2,Furnished,57.0,170000.0
"2 BHK Flat for Rent in Bandra West, Mumbai",Bandra West,Mumbai,950.0,2,2,0,Furnished,142.0,140000.0
2 BHK House for Rent in Mahipalpur New Delhi,Mahipalpur,New Delhi,630.0,2,1,0,Unfurnished,13.0,8000.0
"5 BHK Villa for Rent in Gera Isle Royale, Bavdhan Pune",Bavdhan,Pune,3186.0,5,5,0,Semi-Furnished,44.0,140000.0
3 BHK House for Rent in Sahakar Nagar Bangalore,Sahakara Nagar,Bangalore,1400.0,3,3,0,Unfurnished,29.0,40000.0
"2 BHK Flat for Rent in Hebbal, Bangalore",Hebbal,Bangalore,1420.0,2,2,2,Semi-Furnished,25.0,35000.0
"3 BHK Flat for Rent in Green Apartments, Pitam Pura, New Delhi",Pitampura,New Delhi,1200.0,3,2,0,Furnished,29.0,35000.0
"3 BHK Flat for Rent in Oberoi Sky City, Borivali East, Mumbai",Borivali East,Mumbai,1094.0,3,3,0,Semi-Furnished,112.0,120000.0
4 BHK Villa for Rent in Hennur Gardens Bangalore,Hennur,Bangalore,3000.0,4,5,2,Furnished,67.0,200000.0
"3 BHK Flat for Rent in Evershine Cosmic, Andheri West, Mumbai",Andheri West,Mumbai,1500.0,3,3,0,Semi-Furnished,60.0,90000.0
